triplet_corr_orig,triplet_corr_model,triplet_corr_independent
-0.2540000000000001,-0.25534000000000034,-0.15569492000000032
-0.2680000000000001,-0.2594200000000003,-0.1539120000000003
-0.2380000000000001,-0.25118000000000035,-0.14551680000000028
-0.2580000000000001,-0.24242000000000027,-0.1499942400000003
-0.2300000000000001,-0.23838000000000023,-0.14551680000000028
-0.21600000000000008,-0.2162200000000002,-0.13824096000000027
-0.2620000000000001,-0.2684200000000003,-0.15782976000000032
-0.28800000000000014,-0.27026000000000033,-0.16846368000000034
-0.2480000000000001,-0.26512000000000036,-0.1516732800000003
-0.2440000000000001,-0.24430000000000027,-0.15158000000000033
-0.2480000000000001,-0.2342200000000003,-0.15624400000000033
-0.2680000000000001,-0.22666000000000025,-0.15158000000000033
-0.2220000000000001,-0.2226200000000002,-0.1440010000000003
-0.2520000000000001,-0.25462000000000035,-0.16440600000000036
-0.2580000000000001,-0.2322200000000003,-0.1754830000000004
-0.2580000000000001,-0.27160000000000034,-0.15799300000000033
-0.2420000000000001,-0.22242000000000023,-0.1477216000000003
-0.27400000000000013,-0.2399800000000003,-0.1433120000000003
-0.20400000000000007,-0.22614000000000029,-0.13614640000000028
-0.2500000000000001,-0.24454000000000023,-0.15543840000000034
-0.27600000000000013,-0.2663000000000004,-0.16591120000000037
-0.2600000000000001,-0.2647600000000004,-0.14937520000000032
-0.2340000000000001,-0.22730000000000028,-0.1477216000000003
-0.2280000000000001,-0.20470000000000022,-0.1403355200000003
-0.2460000000000001,-0.23738000000000029,-0.16022112000000033
-0.2400000000000001,-0.24254000000000028,-0.17101616000000036
-0.2600000000000001,-0.24752000000000035,-0.1539713600000003
-0.2560000000000001,-0.21058000000000024,-0.13614640000000028
-0.2580000000000001,-0.2439400000000003,-0.15543840000000034
-0.2560000000000001,-0.2378200000000003,-0.16591120000000037
-0.27600000000000013,-0.2682000000000004,-0.14937520000000032
-0.2640000000000001,-0.23078000000000023,-0.1476664800000003
-0.2380000000000001,-0.2395000000000003,-0.1576156400000003
-0.2420000000000001,-0.24272000000000032,-0.14190644000000027
-0.2560000000000001,-0.2736600000000003,-0.17994984000000036
-0.2640000000000001,-0.2854000000000003,-0.16201464000000032
-0.28200000000000014,-0.2849600000000005,-0.17293052000000037
-0.2460000000000001,-0.2506800000000003,-0.1477385280000003
-0.22000000000000008,-0.23670000000000027,-0.15051556800000032
-0.2500000000000001,-0.23852000000000023,-0.1466277120000003
-0.2640000000000001,-0.2309200000000003,-0.15273720000000032
-0.2380000000000001,-0.2248800000000002,-0.1444060800000003
-0.2620000000000001,-0.24180000000000032,-0.1488493440000003
-0.2540000000000001,-0.24300000000000033,-0.1444060800000003
-0.2320000000000001,-0.21988000000000021,-0.1371857760000003
-0.28200000000000014,-0.2574400000000003,-0.15662505600000032
-0.2520000000000001,-0.2587200000000003,-0.16717780800000034
-0.24800000000000014,-0.2433000000000003,-0.15051556800000032
-0.20600000000000007,-0.2221800000000002,-0.1533990080000003
-0.22000000000000008,-0.2452000000000003,-0.1494366720000003
-0.20200000000000007,-0.2340800000000003,-0.1556632000000003
-0.2400000000000001,-0.23860000000000028,-0.1471724800000003
-0.23600000000000013,-0.22772000000000028,-0.15170086400000032
-0.2440000000000001,-0.2545200000000003,-0.1471724800000003
-0.18200000000000005,-0.22532000000000024,-0.1398138560000003
-0.21600000000000008,-0.2480800000000003,-0.15962553600000032
-0.2460000000000001,-0.24124000000000034,-0.17038044800000035
-0.2220000000000001,-0.24774000000000027,-0.1533990080000003
-0.2460000000000001,-0.2427400000000002,-0.1522456320000003
-0.2280000000000001,-0.21702000000000018,-0.15858920000000032
-0.2460000000000001,-0.23414000000000026,-0.1499388800000003
-0.19800000000000012,-0.23678000000000018,-0.15455238400000032
-0.2420000000000001,-0.24118000000000034,-0.1499388800000003
-0.22000000000000008,-0.23274000000000025,-0.14244193600000027
-0.21000000000000008,-0.23254000000000033,-0.16262601600000032
-0.20000000000000007,-0.24282000000000029,-0.17358308800000036
-0.2360000000000001,-0.22764000000000023,-0.15628244800000032
-0.2460000000000001,-0.24516000000000032,-0.15449280000000032
-0.2240000000000001,-0.2266800000000003,-0.1460659200000003
-0.2240000000000001,-0.2482400000000003,-0.1505602560000003
-0.2240000000000001,-0.2447600000000003,-0.1460659200000003
-0.2460000000000001,-0.22744000000000023,-0.13876262400000028
-0.2600000000000001,-0.25940000000000035,-0.15842534400000033
-0.2420000000000001,-0.24544000000000027,-0.16909939200000035
-0.2500000000000001,-0.23766000000000023,-0.1522456320000003
-0.2220000000000001,-0.22008000000000025,-0.15215200000000031
-0.2300000000000001,-0.24040000000000028,-0.15683360000000032
-0.20600000000000007,-0.22844000000000025,-0.15215200000000031
-0.2600000000000001,-0.2275600000000002,-0.1445444000000003
-0.2500000000000001,-0.24756000000000022,-0.16502640000000035
-0.18800000000000006,-0.20720000000000022,-0.17614520000000036
-0.27600000000000013,-0.24618000000000032,-0.15858920000000035
-0.2000000000000001,-0.22500000000000026,-0.1482790400000003
-0.2680000000000001,-0.23952000000000026,-0.1438528000000003
-0.2500000000000001,-0.2262800000000002,-0.13666016000000028
-0.20800000000000007,-0.23404000000000016,-0.15602496000000032
-0.2300000000000001,-0.24816000000000035,-0.16653728000000034
-0.2220000000000001,-0.23118000000000025,-0.1499388800000003
-0.2480000000000001,-0.2519600000000003,-0.1482790400000003
-0.2300000000000001,-0.23444000000000023,-0.1408650880000003
-0.22400000000000012,-0.25584000000000034,-0.16082572800000033
-0.2300000000000001,-0.24640000000000026,-0.17166150400000035
-0.2500000000000001,-0.23866000000000026,-0.15455238400000032
-0.2380000000000001,-0.2380800000000003,-0.13666016000000028
-0.23200000000000012,-0.2602400000000003,-0.15602496000000032
-0.2580000000000001,-0.23952000000000032,-0.16653728000000034
-0.2540000000000001,-0.26150000000000034,-0.1499388800000003
-0.28200000000000014,-0.2502400000000003,-0.1482237120000003
-0.29200000000000015,-0.25388000000000027,-0.15821041600000033
-0.27200000000000013,-0.24270000000000033,-0.1424419360000003
-0.2620000000000001,-0.2662000000000003,-0.18062889600000037
-0.27000000000000013,-0.2677800000000004,-0.16262601600000035
-0.29200000000000015,-0.24802000000000032,-0.17358308800000036
-0.2320000000000001,-0.2371800000000002,-0.15051556800000032
-0.2420000000000001,-0.24120000000000022,-0.1466277120000003
-0.27200000000000013,-0.24804000000000034,-0.15273720000000032
-0.2500000000000001,-0.24052000000000026,-0.1444060800000003
-0.21400000000000008,-0.23060000000000025,-0.1488493440000003
-0.19800000000000006,-0.2458000000000003,-0.1444060800000003
-0.1960000000000001,-0.22224000000000022,-0.1371857760000003
-0.2660000000000001,-0.2552400000000003,-0.15662505600000032
-0.27600000000000013,-0.2714400000000003,-0.16717780800000034
-0.2360000000000001,-0.2534200000000002,-0.15051556800000032
-0.2240000000000001,-0.2447800000000003,-0.1493838720000003
-0.19800000000000006,-0.23334000000000027,-0.15560820000000034
-0.21200000000000008,-0.24378000000000033,-0.1471204800000003
-0.2280000000000001,-0.2393000000000002,-0.1516472640000003
-0.2320000000000001,-0.24026000000000022,-0.1471204800000003
-0.1980000000000001,-0.22562000000000026,-0.1397644560000003
-0.2480000000000001,-0.24406000000000028,-0.15956913600000033
-0.2500000000000001,-0.27170000000000044,-0.17032024800000037
-0.19000000000000006,-0.23392000000000027,-0.15334480800000033
-0.2680000000000001,-0.23888000000000026,-0.1515888000000003
-0.21800000000000008,-0.21516000000000018,-0.14332032000000028
-0.2340000000000001,-0.23232000000000025,-0.1477301760000003
-0.21800000000000008,-0.22244000000000025,-0.14332032000000028
-0.20400000000000007,-0.19676000000000018,-0.13615430400000028
-0.30200000000000016,-0.2556800000000003,-0.1554474240000003
-0.2480000000000001,-0.2581200000000003,-0.16592083200000032
-0.2320000000000001,-0.23326000000000024,-0.1493838720000003
-0.2640000000000001,-0.22380000000000022,-0.1492920000000003
-0.2320000000000001,-0.2346000000000002,-0.15388560000000032
-0.21600000000000008,-0.22000000000000028,-0.1492920000000003
-0.21800000000000008,-0.21628000000000022,-0.1418274000000003
-0.29200000000000015,-0.2511600000000003,-0.16192440000000036
-0.2580000000000001,-0.24240000000000025,-0.17283420000000038
-0.27400000000000013,-0.24358000000000024,-0.15560820000000034
-0.23800000000000013,-0.21964000000000025,-0.1454918400000003
-0.2260000000000001,-0.22864000000000023,-0.14114880000000027
-0.23600000000000013,-0.2072000000000002,-0.13409136000000027
-0.27000000000000013,-0.2354400000000003,-0.1530921600000003
-0.27200000000000013,-0.26084000000000035,-0.16340688000000034
-0.2240000000000001,-0.22758000000000025,-0.14712048000000028
-0.27800000000000014,-0.23564000000000027,-0.1454918400000003
-0.2400000000000001,-0.20752000000000023,-0.13821724800000026
-0.2620000000000001,-0.25164000000000025,-0.15780268800000033
-0.2480000000000001,-0.25932000000000033,-0.16843478400000034
-0.2520000000000001,-0.23762000000000028,-0.1516472640000003
-0.19200000000000006,-0.2086000000000002,-0.13409136000000027
-0.2380000000000001,-0.24428000000000033,-0.1530921600000003
-0.27600000000000013,-0.2507600000000003,-0.16340688000000034
-0.2560000000000001,-0.24910000000000032,-0.14712048000000028
-0.2520000000000001,-0.23152000000000025,-0.14543755200000028
-0.2420000000000001,-0.24924000000000032,-0.1552365360000003
-0.2540000000000001,-0.22298000000000023,-0.13976445600000026
-0.28000000000000014,-0.2858800000000004,-0.17723361600000037
-0.30400000000000016,-0.2715000000000004,-0.15956913600000033
-0.2420000000000001,-0.27022000000000046,-0.17032024800000034
-0.2260000000000001,-0.23606000000000024,-0.1522456320000003
-0.2320000000000001,-0.20998000000000014,-0.15858920000000032
-0.20600000000000007,-0.2372200000000003,-0.1499388800000003
-0.2420000000000001,-0.20830000000000023,-0.15455238400000032
-0.2460000000000001,-0.23438000000000025,-0.1499388800000003
-0.17200000000000007,-0.21286000000000024,-0.14244193600000027
